['LOG', 'COUNTER', 'INTERPOLATED', 'RAW_CQ', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'TIMESTAMP', 'ES_TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
2016-10-05T18:34:59.978000 , 53.0 , 0.0 , 0.0 , 4316.92307692 , 4310.25641026 , 4305.64102564 , 4324.1025641 , 4193.33333333 , 4186.15384615 , 4178.46153846 , 4195.8974359 , 4195.38461538 , 4203.07692308 , 4228.71794872 , 4953.84615385 , 4098.46153846 , 4207.17948718 , 0.36190409567 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:34:59.997000 , 54.0 , 0.0 , 0.0 , 4340.51282051 , 4330.25641026 , 4328.20512821 , 4344.1025641 , 4201.53846154 , 4193.84615385 , 4187.69230769 , 4195.8974359 , 4195.38461538 , 4200.0 , 4220.51282051 , 4952.82051282 , 4073.84615385 , 4204.1025641 , 0.369220259497 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.025000 , 55.0 , 0.0 , 0.0 , 4321.02564103 , 4304.1025641 , 4329.74358974 , 4338.46153846 , 4197.43589744 , 4191.79487179 , 4192.82051282 , 4195.38461538 , 4195.8974359 , 4195.38461538 , 4220.0 , 4948.71794872 , 4069.74358974 , 4200.0 , 0.376536423323 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.046000 , 56.0 , 0.0 , 0.0 , 4312.82051282 , 4302.56410256 , 4339.48717949 , 4335.38461538 , 4195.38461538 , 4191.28205128 , 4193.84615385 , 4195.38461538 , 4196.41025641 , 4196.92307692 , 4211.79487179 , 4952.82051282 , 4053.84615385 , 4201.53846154 , 0.38385258715 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.067000 , 57.0 , 0.0 , 0.0 , 4308.71794872 , 4307.17948718 , 4332.82051282 , 4326.66666667 , 4194.87179487 , 4190.76923077 , 4185.64102564 , 4196.92307692 , 4197.43589744 , 4201.53846154 , 4214.35897436 , 4952.82051282 , 4063.07692308 , 4203.07692308 , 0.391168750977 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.084000 , 58.0 , 0.0 , 0.0 , 4308.71794872 , 4303.58974359 , 4327.69230769 , 4338.46153846 , 4196.92307692 , 4191.28205128 , 4186.15384615 , 4196.92307692 , 4197.94871795 , 4200.51282051 , 4206.66666667 , 4953.84615385 , 4071.79487179 , 4200.0 , 0.398484914804 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.089000 , 59.0 , 0.0 , 0.0 , 4295.38461538 , 4289.23076923 , 4317.94871795 , 4332.30769231 , 4191.79487179 , 4187.17948718 , 4187.17948718 , 4194.87179487 , 4196.92307692 , 4198.46153846 , 4207.69230769 , 4955.38461538 , 4076.41025641 , 4200.51282051 , 0.405801078631 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.089000 , 60.0 , 0.0 , 0.0 , 4288.20512821 , 4287.17948718 , 4296.92307692 , 4314.87179487 , 4187.69230769 , 4188.71794872 , 4189.23076923 , 4193.84615385 , 4195.8974359 , 4199.48717949 , 4217.94871795 , 4954.87179487 , 4100.51282051 , 4202.05128205 , 0.413117242457 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:35:00.089000 , 61.0 , 0.0 , 0.0 , 4291.28205128 , 4287.69230769 , 4284.1025641 , 4310.76923077 , 4188.71794872 , 4194.87179487 , 4197.43589744 , 4191.79487179 , 4195.8974359 , 4195.38461538 , 4214.87179487 , 4954.35897436 , 4120.51282051 , 4200.0 , 0.420433406284 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

