['LOG', 'COUNTER', 'INTERPOLATED', 'RAW_CQ', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'TIMESTAMP', 'ES_TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
2016-10-05T18:16:55.856493 , 120.0 , 0.0 , 0.0 , 4199.48717949 , 4291.79487179 , 4293.33333333 , 4302.56410256 , 4194.35897436 , 4235.8974359 , 4247.17948718 , 4194.35897436 , 4196.41025641 , 4200.51282051 , 4155.38461538 , 4950.76923077 , 4071.79487179 , 4088.71794872 , 3.63999116773 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.856922 , 121.0 , 0.0 , 0.0 , 4195.38461538 , 4276.41025641 , 4289.74358974 , 4288.71794872 , 4179.48717949 , 4222.56410256 , 4241.53846154 , 4192.82051282 , 4197.94871795 , 4200.0 , 4158.46153846 , 4947.69230769 , 4087.17948718 , 4100.0 , 3.64830733156 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.860634 , 122.0 , 0.0 , 0.0 , 4203.58974359 , 4274.87179487 , 4292.30769231 , 4286.66666667 , 4188.20512821 , 4238.97435897 , 4249.74358974 , 4193.84615385 , 4197.43589744 , 4198.46153846 , 4148.20512821 , 4944.61538462 , 4075.8974359 , 4097.94871795 , 3.65662349539 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.864904 , 123.0 , 0.0 , 0.0 , 4193.84615385 , 4259.48717949 , 4275.8974359 , 4269.74358974 , 4187.69230769 , 4237.43589744 , 4243.58974359 , 4195.8974359 , 4197.94871795 , 4196.92307692 , 4155.8974359 , 4952.30769231 , 4097.43589744 , 4116.41025641 , 3.66493965922 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.865294 , 124.0 , 0.0 , 0.0 , 4200.0 , 4269.74358974 , 4289.23076923 , 4286.66666667 , 4197.43589744 , 4243.58974359 , 4256.41025641 , 4192.82051282 , 4197.94871795 , 4193.33333333 , 4149.74358974 , 4946.66666667 , 4072.82051282 , 4107.69230769 , 3.67325582304 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.866222 , 125.0 , 0.0 , 0.0 , 4197.43589744 , 4269.23076923 , 4277.43589744 , 4284.61538462 , 4197.94871795 , 4241.02564103 , 4247.69230769 , 4191.28205128 , 4197.43589744 , 4195.38461538 , 4165.64102564 , 4948.71794872 , 4070.25641026 , 4119.48717949 , 3.68157198687 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.867469 , 126.0 , 0.0 , 0.0 , 4201.02564103 , 4287.17948718 , 4271.28205128 , 4292.82051282 , 4204.1025641 , 4257.43589744 , 4258.97435897 , 4192.82051282 , 4196.92307692 , 4195.8974359 , 4165.64102564 , 4951.28205128 , 4070.25641026 , 4114.35897436 , 3.6898881507 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.867826 , 127.0 , 0.0 , 0.0 , 4195.38461538 , 4289.23076923 , 4269.23076923 , 4293.33333333 , 4198.97435897 , 4254.35897436 , 4266.66666667 , 4196.41025641 , 4198.46153846 , 4198.46153846 , 4171.28205128 , 4960.51282051 , 4079.48717949 , 4113.33333333 , 3.69820431452 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.868157 , 128.0 , 0.0 , 0.0 , 4195.8974359 , 4289.74358974 , 4268.71794872 , 4297.94871795 , 4198.46153846 , 4244.61538462 , 4266.15384615 , 4198.46153846 , 4199.48717949 , 4199.48717949 , 4176.92307692 , 4960.51282051 , 4081.53846154 , 4111.79487179 , 3.70652047835 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.868482 , 0.0 , 0.0 , 0.0 , 4195.8974359 , 4287.69230769 , 4267.69230769 , 4299.48717949 , 4192.82051282 , 4242.05128205 , 4260.0 , 4195.38461538 , 4198.46153846 , 4200.0 , 4185.12820513 , 4956.92307692 , 4091.79487179 , 4112.82051282 , 3.71483664218 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

2016-10-05T18:16:55.868820 , 1.0 , 0.0 , 0.0 , 4195.38461538 , 4282.05128205 , 4270.25641026 , 4293.84615385 , 4187.17948718 , 4238.97435897 , 4254.35897436 , 4193.84615385 , 4195.38461538 , 4202.05128205 , 4187.69230769 , 4955.38461538 , 4091.79487179 , 4107.69230769 , 3.723152806 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

